Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Source,Fu_median,N_fu,Fu_values,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,LogP_opera,Type,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,LogP_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver,pKa_acid_v1,pKa_base_v1,pKa_acid_v2,pKa_base_v2,FG_acid_v2,FG_base_v2,f_neutral_v2,fraction_ionized_v2,LogD74_calc_pkasolver_v2
Hydroxychloroquine,CHEMBL1535,335.88,48.39,2,4,3.78,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,ChEMBL,0.57,1,0.57,NA,NA,NA,ChEMBL_Fu,0.57,NA,0,NA,NA,0,NA,9.88,8.56,2.77,4.6,AMPHOLYTE,335.8790000000001,48.39,2,4,3.783000000000002,335.88,48.39,3.78,9.999999999195097e-4,0,0,0,0.003000000000002334,"5.21, 5.784, 8.21, 8.968",4,"BASE, BASE, BASE, ACID",8.967913990020753,8.20999053955078,8.967913990020753,8.20999053955078,alcohol,aliphatic_amine,0.13362826722009807,0.8663717327799019,2.9058983368758655
Imipramine,CHEMBL11,280.42,6.48,0,2,3.88,CN(C)CCCN1c2ccccc2CCc2ccccc21,ChEMBL,0.13849999999999998,8,"0.1, 0.1, 0.075, 0.105, 0.172, 0.181, 0.22, 0.472",NA,NA,NA,ChEMBL_Fu,0.13849999999999998,9.5,15,"9.51, 9.45, 9.5, 9.5, 3.52, 9.5, 9.45, 2.1, 9.51, 9.45, 9.4, 10.2, 9.5, 9.5, 9",2.455,10,"2.52, 2.31, 2.4, 2.49, 2.581, 2.49, 1.33, 1.43, 2.52, 2.42",NA,7.89,4.19,4.8,BASE,280.415,6.48,0,2,3.8750000000000027,280.42,6.48,3.88,0.0049999999999954525,0,0,0,0.004999999999997229,"5.813, 9.018",2,"BASE, BASE",NA,9.018177070617675,NA,9.018177070617675,NA,aliphatic_amine,0.023522589535197726,0.9764774104648023,2.251485130284272
Isoniazid,CHEMBL64,137.14,68.01,2,3,-0.31,NNC(=O)c1ccncc1,ChEMBL,1,1,1,NA,NA,NA,ChEMBL_Fu,1,0.925,2,"1.8, 0.05",NA,0,NA,11.19,5.67,-1.77,-0.7,AMPHOLYTE,137.142,68.00999999999999,2,3,-0.3149000000000006,137.14,68.01,-0.31,0.0020000000000095497,1.4210854715202004e-14,0,0,0.004900000000000626,"3.853, 8.519",2,"BASE, ACID",8.518807392120362,3.8529124450683594,8.518807392120362,3.8529124450683594,acidic_amide,heterocyclic_N_basic_6ring,0.9290657465973476,0.07093425340265236,-0.341953551480956
Levodopa,CHEMBL1009,197.19,103.78,4,4,0.05,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,ChEMBL,0.76,1,0.76,NA,NA,NA,ChEMBL_Fu,0.76,7.470000000000001,2,"12.73, 2.21",-1.22,1,-1.22,4.03,NA,-5.76,-2.39,ACID,197.18999999999997,103.78000000000002,4,4,0.052200000000000135,197.19,103.78,0.05,2.842170943040401e-14,1.4210854715202004e-14,0,0,0.0022000000000001324,"5.557, 9.214",2,"ACID, BASE",5.556838912963867,9.213680267333984,5.556838912963867,9.213680267333984,carboxylate,aliphatic_amine,0.007363587046904671,0.9926364129530953,-2.0829105749044863
Methadone,CHEMBL651,309.45,20.31,0,2,4.29,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,ChEMBL,0.16,2,"0.11, 0.21",NA,NA,NA,ChEMBL_Fu,0.16,8.775,2,"8.25, 9.3",NA,0,NA,NA,NA,NA,NA,NEUTRAL,309.45300000000003,20.310000000000002,0,2,4.292000000000004,309.45,20.31,4.29,0.0030000000000427463,3.552713678800501e-15,0,0,0.0020000000000042206,8.886,1,BASE,NA,8.886227874755859,NA,8.886227874755859,NA,aliphatic_amine,0.03160985378065736,0.9683901462193426,2.789822486905681
Methylphenidate,CHEMBL796,233.31,38.33,1,3,2.09,COC(=O)C(c1ccccc1)C1CCCCN1,ChEMBL,0.85,1,0.85,NA,NA,NA,ChEMBL_Fu,0.85,9.24,2,"9.24, 9.24",0.125,2,"-0.15, 0.4",NA,10.54,-2.93,0.21,BASE,233.31099999999995,38.33,1,3,2.0852999999999997,233.31,38.33,2.09,9.999999999479314e-4,0,0,0,0.0047000000000001485,9.279,1,BASE,NA,9.279280853271484,NA,9.279280853271484,NA,aliphatic_amine,0.013032330148130404,0.9869676698518696,0.20502207342561296
Metoprolol,CHEMBL13,267.37,50.72,2,4,1.61,COCCc1ccc(OCC(O)CNC(C)C)cc1,ChEMBL,0.89,4,"0.89, 0.89, 0.88, 0.974",NA,NA,NA,ChEMBL_Fu,0.89,9.7,17,"9.6, 9.7, 9.7, 9.7, 9.7, 9.18, 6.55, 9.63, 9.7, 9.18, 2.45, 9.56, 9.7, 9.7, 13.74, 9.7, 9.17",-0.16,7,"0.07, -0.16, -0.24, 0.07, -0.37, 0.05, -0.28",NA,10.43,-1.15,1.88,BASE,267.36899999999997,50.72,2,4,1.6132,267.37,50.72,1.61,0.0010000000000331966,0,0,0,0.0031999999999998696,9.601,1,BASE,NA,9.600602073669434,NA,9.600602073669434,NA,aliphatic_amine,0.006261380471555046,0.993738619528445,-0.5933299055941379
Metronidazole,CHEMBL137,171.16,81.19,1,5,0.09,Cc1ncc([N+](=O)[O-])n1CCO,ChEMBL,0.89,3,"0.89, 0.89, 0.96",NA,NA,NA,ChEMBL_Fu,0.89,0,1,0,-0.02,2,"-0.02, -0.02",NA,3.33,-0.02,-0.02,BASE,171.15599999999998,81.19,1,4,0.09201999999999994,171.16,81.19,0.09,0.004000000000019099,0,0,1,0.0020199999999999385,"4.049, 7.258",2,"BASE, ACID",7.258438034057617,4.049307346343994,7.258438034057617,4.049307346343994,alcohol,heterocyclic_N_basic_5ring_polyhet,0.4191459483084974,0.5808540516915026,-0.2876347276103982
Mianserin,CHEMBL6437,264.37,6.48,0,2,3.08,CN1CCN2c3ccccc3Cc3ccccc3C2C1,ChEMBL,0.839,1,0.839,NA,NA,NA,ChEMBL_Fu,0.839,7.1,3,"7.1, 7.1, 8.4",4.08,1,4.08,NA,8.02,3.53,4.24,BASE,264.372,6.48,0,2,3.0839000000000016,264.37,6.48,3.08,0.0020000000000095497,0,0,0,0.003900000000001569,"6.586, 7.47",2,"BASE, BASE",NA,7.469741668701172,NA,7.469741668701172,NA,aliphatic_amine,0.45993952099275964,0.5400604790072403,2.742700728581742
Minoxidil,CHEMBL802,209.25,95.11,2,5,-0.13,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],ChEMBL,NA,0,NA,NA,NA,0,NA,NA,4.6,1,4.6,NA,0,NA,NA,5.59,1.23,1.24,BASE,209.25300000000001,95.11,2,5,-0.13029999999999975,209.25,95.11,-0.13,0.0030000000000143245,0,0,0,2.999999999997449e-4,"3.709, 4.305, 5.015, 5.117, 9.772, 10.17",6,"BASE, BASE, ACID, BASE, BASE, ACID",5.014851360321045,9.77235378265381,10.169734115600585,9.77235378265381,acidic_aniline,aliphatic_amine,0.00422478292844518,0.9957752170715548,-2.5041956004185
Morphine,CHEMBL70,285.34,52.93,2,4,1.20,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,ChEMBL,0.65,3,"0.65, 0.61, 0.65",NA,NA,NA,ChEMBL_Fu,0.65,8.18,15,"8.18, 8.18, 9.26, 9.26, 9.46, 8.18, 8.17, 8.13, 9.6, 7.93, 8.18, 8.18, 8.18, 8.3, 7.93",-0.07500000000000001,4,"-0.07, -0.02, -0.08, -0.44",NA,8.06,0.14,0.89,BASE,285.343,52.93000000000001,2,4,1.1981,285.34,52.93,1.2,0.0030000000000427463,7.105427357601002e-15,0,0,0.0019000000000000128,"7.797, 8.177, 8.618",3,"BASE, ACID, ACID",8.176908836364746,7.7969005584716795,8.176908836364746,7.7969005584716795,alcohol,aliphatic_amine,0.27313689798150226,0.7268631020184977,0.6363803728139645
Naltrexone,CHEMBL19019,341.41,70.00,2,5,1.53,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,ChEMBL,0.79,1,0.79,NA,NA,NA,ChEMBL_Fu,0.79,8.1,1,8.1,NA,0,NA,NA,6.87,1.81,1.92,BASE,341.4070000000001,70,2,5,1.5253999999999999,341.41,70,1.53,0.0029999999999290594,0,0,0,0.0046000000000001595,"8.497, 9.005, 9.103",3,"BASE, ACID, ACID",9.00490478515625,8.49729148864746,9.00490478515625,8.49729148864746,alcohol,aliphatic_amine,0.07387804360621407,0.9261219563937859,0.3985153861959849
Nicotine,CHEMBL3,162.24,16.13,0,2,1.85,CN1CCC[C@H]1c1cccnc1,ChEMBL,0.95,3,"0.95, 0.95, 0.95",NA,NA,NA,ChEMBL_Fu,0.95,8.08,9,"8.1, 8.1, 8, 8.08, 3.4, 7.66, 7.9, 8.11, 8.1",0.4,1,0.4,NA,NA,NA,NA,NEUTRAL,162.236,16.130000000000003,0,2,1.8483,162.24,16.13,1.85,0.004000000000019099,3.552713678800501e-15,0,0,0.0017000000000000348,"4.932, 8.293",2,"BASE, BASE",NA,8.292937088012696,NA,8.292937088012696,NA,aliphatic_amine,0.11344111780481964,0.8865588821951804,0.9047704972296231
Nortriptyline,CHEMBL445,263.38,12.03,1,1,3.83,CNCCC=C1c2ccccc2CCc2ccccc21,ChEMBL,0.12,3,"0.12, 0.12, 0.006",NA,NA,NA,ChEMBL_Fu,0.12,10.1,9,"10.1, 9.7, 9.7, 10.41, 10.1, 10.41, 10.13, 10.1, 13.9",2.23,5,"2.02, 1.98, 9.73, 2.23, 2.8",NA,10.71,1.2,4.51,BASE,263.38399999999996,12.03,1,1,3.826400000000003,263.38,12.03,3.83,0.003999999999962256,0,0,0,0.003599999999996939,9.794,1,BASE,NA,9.793729705810547,NA,9.793729705810547,NA,aliphatic_amine,0.004022719271125603,0.9959772807288744,1.434519726020162
Paroxetine,CHEMBL490,329.37,39.72,1,4,3.33,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,ChEMBL,0.074,7,"0.05, 0.06, 0.005, 0.074, 0.089, 0.099, 0.136",NA,NA,NA,ChEMBL_Fu,0.074,9.805,8,"9.51, 11.2, 10.1, 9.51, 10.1, 9.51, 9.5, 10.34",2.285,2,"2.27, 2.3",NA,NA,NA,NA,NEUTRAL,329.3710000000001,39.72,1,4,3.326500000000002,329.37,39.72,3.33,0.00100000000009004,0,0,0,0.0034999999999980602,9.788,1,BASE,NA,9.788445777893067,NA,9.788445777893067,NA,aliphatic_amine,0.004071760911524089,0.9959282390884759,0.9397822688733397
Pefloxacin,CHEMBL267648,333.36,65.78,1,5,1.61,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,ChEMBL,0.75,1,0.75,NA,NA,NA,ChEMBL_Fu,0.75,NA,0,NA,0.37,1,0.37,-1.71,7.17,0.07,0.27,AMPHOLYTE,333.36300000000006,65.78,1,4,1.6105000000000003,333.36,65.78,1.61,0.0030000000000427463,0,0,1,5.00000000000167e-4,"5.194, 6.607, 6.86",3,"BASE, ACID, BASE",6.607101039886475,6.860183143615723,6.607101039886475,6.860183143615723,carboxylate,aliphatic_amine,0.13340856087449232,0.8665914391255076,0.7351836993051101
Prednisolone,CHEMBL131,360.45,94.83,3,5,1.56,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,ChEMBL,0.25,5,"0.075, 0.075, 0.25, 0.98, 0.41",NA,NA,NA,ChEMBL_Fu,0.25,0,1,0,1.6,1,1.6,8.59,NA,1.59,1.62,ACID,360.4500000000002,94.83,3,5,1.5575999999999999,360.45,94.83,1.56,2.2737367544323206e-13,0,0,0,0.0024000000000001798,"6.694, 7.029, 8.285",3,"ACID, ACID, ACID",6.693532009124755,NA,6.693532009124755,NA,alcohol,NA,0.16428256397300636,0.8357174360269937,0.7755914723082217
Propranolol,CHEMBL27,259.35,41.49,2,3,2.58,CC(C)NCC(O)COc1cccc2ccccc12,ChEMBL,0.216,11,"0.13, 0.1, 0.13, 0.216, 0.213, 0.231, 0.315, 0.15, 0.915, 0.421, 0.244",NA,NA,NA,ChEMBL_Fu,0.216,9.475,24,"9.45, 9.45, 9.5, 9.5, 9.15, 6.49, 9.68, 9.53, 9.64, 9.45, 9.17, 2.3, 9.53, 9.45, 9.6, 9.6, 10.17, 9.5, 9.45, 9.56, 9.51, 9.43, 9.35, 7.5",1.26,15,"1.54, 1.18, 1.26, 1.25, 1.33, 0.69, 0.72, 1.4, 1.54, 1.62, 1.38, 1.26, 0.2, 1.26, 1.2",NA,8.86,2.01,3.48,BASE,259.34900000000005,41.489999999999995,2,3,2.5775000000000006,259.35,41.49,2.58,9.999999999763531e-4,7.105427357601002e-15,0,0,0.0024999999999995026,9.543,1,BASE,NA,9.543197212219239,NA,9.543197212219239,NA,aliphatic_amine,0.007139879052711462,0.9928601209472885,0.43369085502758864
Quinine,CHEMBL170,324.42,45.59,1,4,3.17,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,ChEMBL,0.3,1,0.3,NA,NA,NA,ChEMBL_Fu,0.3,8.56,9,"8.8, 9.13, 8.5, 8.8, 8.55, 8.56, 1.6, 3.1, 8.8",NA,0,NA,NA,8.25,2.53,3.44,BASE,324.4240000000001,45.59,1,4,3.1732000000000014,324.42,45.59,3.17,0.004000000000075943,0,0,0,0.003200000000001424,"6.88, 9.417, 10.594",3,"BASE, BASE, ACID",10.594068183898926,9.416836929321288,10.594068183898926,9.416836929321288,alcohol,aliphatic_amine,0.009528018530802727,0.9904719814691972,1.1490025931239174
Risperidone,CHEMBL85,410.49,64.16,0,6,3.59,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,ChEMBL,0.1745,8,"0.11, 0.11, 0.1, 0.163, 0.222, 0.186, 0.276, 0.932",NA,NA,NA,ChEMBL_Fu,0.1745,8.3,11,"7.91, 8.3, 8.7, 3.16, 3.16, 8.63, 8.3, 8.3, 8.3, 13, 8.2",1.71,3,"2.04, 1.66, 1.71",NA,7.61,3.56,3.98,BASE,410.4930000000003,64.16,0,5,3.5904200000000026,410.49,64.16,3.59,0.00300000000027012,0,0,1,4.200000000027515e-4,"4.504, 6.14, 7.873",3,"BASE, BASE, BASE",NA,7.873133888244629,NA,7.873133888244629,NA,aliphatic_amine,0.25172543277576986,0.7482745672242301,2.990927096184765
Sumatriptan,CHEMBL128,295.41,65.20,2,3,1.32,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ChEMBL,0.82,4,"0.82, 0.82, 0.83, 0.68",NA,NA,NA,ChEMBL_Fu,0.82,9.5,6,"9.5, 9.5, 9.4, 9.68, 9.5, 8.7",-1.17,6,"-1.17, -1.17, -1.17, -1, 0, -1.7",10.22,NA,0.93,0.93,ACID,295.408,65.2,2,3,1.3211999999999997,295.41,65.2,1.32,0.0020000000000095497,0,0,0,0.0011999999999996458,"6.868, 7.935, 8.289, 8.793, 10.176",5,"BASE, ACID, BASE, ACID, ACID",7.934595928192139,8.289345149993897,7.934595928192139,8.289345149993897,sulfonamide,aliphatic_amine,0.11058534380042734,0.8894146561995726,0.3636975724625804
Temazepam,CHEMBL967,300.75,52.90,1,3,2.47,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,4.19,2.19,2.19,BASE,300.74500000000006,52.900000000000006,1,3,2.4722,300.75,52.9,2.47,0.004999999999938609,7.105427357601002e-15,0,0,0.0021999999999997577,"2.84, 10.291",2,"BASE, ACID",10.291334495544433,NA,10.291334495544433,NA,alcohol,NA,0.9987173501958726,0.0012826498041274004,2.469442594713494
Timolol,CHEMBL499,316.43,79.74,2,8,0.50,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,ChEMBL,0.9,3,"0.9, 0.9, 0.988",NA,NA,NA,ChEMBL_Fu,0.9,8.8,7,"8.8, 9.3, 9.53, 8.8, 9.53, 8.8, 3.9",NA,0,NA,NA,9.6,-0.37,1.83,BASE,316.4270000000002,79.74,2,8,0.5024999999999997,316.43,79.74,0.5,0.0029999999998153726,0,0,0,0.0024999999999997247,"4.46, 4.685, 9.199",3,"BASE, BASE, BASE",NA,9.198559799194335,NA,9.198559799194335,NA,aliphatic_amine,0.015652674937635443,0.9843473250623646,-1.3054114337479126
Triprolidine,CHEMBL855,278.40,16.13,0,2,3.92,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,ChEMBL,NA,0,NA,35.46,0.6454,1,ChEMBL_PPB,0.6454,9.69,3,"9.69, 9.25, 9.69",NA,0,NA,NA,8.15,3.1,3.92,BASE,278.399,16.130000000000003,0,2,3.9175200000000032,278.4,16.13,3.92,9.999999999763531e-4,3.552713678800501e-15,0,0,0.002479999999996707,"5.906, 8.981",2,"BASE, BASE",NA,8.981221466064452,NA,8.981221466064452,NA,aliphatic_amine,0.02555843941894429,0.9744415605810557,2.327534332568046
Venlafaxine,CHEMBL637,277.41,32.70,1,3,3.04,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,ChEMBL,0.73,2,"0.73, 0.73",NA,NA,NA,ChEMBL_Fu,0.73,9.6,8,"9.5, 9.2, 9.9, 9.9, 9.5, 9.7, 9.5, 10",0.88,3,"0.88, 1, 0.88",NA,9.4,1.13,3.13,BASE,277.4079999999999,32.7,1,3,3.0356000000000014,277.41,32.7,3.04,0.0020000000001232365,0,0,0,0.004399999999998627,"9.412, 9.559",2,"BASE, ACID",9.559253768920899,9.4118510055542,9.559253768920899,9.4118510055542,alcohol,aliphatic_amine,0.009636390309153519,0.9903636096908465,1.0239143822020522
Verapamil,CHEMBL6966,454.61,63.95,0,6,5.09,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,ChEMBL,0.14550000000000002,8,"0.1, 0.093, 0.137, 0.154, 0.16, 0.233, 0.79, 0.01",NA,NA,NA,ChEMBL_Fu,0.14550000000000002,8.92,18,"9.2, 8.92, 8.29, 8.9, 9.04, 8.92, 8.68, 4.18, 8.92, 8.92, 8.92, 8.76, 1.36, 9.07, 8.92, 8.9, 8.7, 9",2.5949999999999998,4,"1.91, 3.4, 2.52, 2.67",NA,8.43,2.72,3.79,BASE,454.6110000000002,63.95,0,6,5.093080000000005,454.61,63.95,5.09,0.0010000000002037268,0,0,0,0.0030800000000050787,8.92,1,BASE,NA,8.920314445495606,NA,8.920314445495606,NA,aliphatic_amine,0.029293645863212196,0.9707063541367879,3.5567734269816245
Zidovudine,CHEMBL129,267.24,133.08,2,6,-0.20,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,ChEMBL,0.77,3,"0.77, 0.8, 0.695",NA,NA,NA,ChEMBL_Fu,0.77,NA,0,NA,NA,0,NA,6.88,NA,-0.58,0.05,ACID,267.245,133.07999999999998,2,5,-0.19628000000000012,267.24,133.08,-0.2,0.0049999999999954525,2.842170943040401e-14,0,1,0.00371999999999989,"5.81, 8.047, 8.793, 10.025",4,"BASE, ACID, ACID, BASE",8.046783142089843,10.024857978820801,8.79338701248169,10.024857978820801,alcohol,heterocyclic_N_basic_polyhet,0.0023663091747653563,0.9976336908252347,-2.825928512403646
Abacavir,CHEMBL1380,286.34,101.88,3,7,1.09,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,ChEMBL,0.5,1,0.5,NA,NA,NA,ChEMBL_Fu,0.5,NA,0,NA,NA,0,NA,NA,5.31,1.22,1.22,BASE,286.33900000000006,101.88,3,6,1.0922999999999998,286.34,101.88,1.09,9.999999999195097e-4,0,0,1,0.0022999999999997467,"3.932, 3.94, 4.504, 5.71, 9.063, 9.508",6,"BASE, BASE, BASE, BASE, ACID, BASE",9.062962131500244,9.507510833740234,9.062962131500244,9.507510833740234,alcohol,aliphatic_amine,0.007745307426693759,0.9922546925733062,-1.0209613395488109
Apixaban,CHEMBL231779,459.51,110.76,1,6,2.70,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,ChEMBL,0.07,1,0.07,NA,NA,NA,ChEMBL_Fu,0.07,8.56,1,8.56,NA,0,NA,8.66,NA,2.49,2.51,ACID,459.5060000000003,110.75999999999999,1,5,2.699600000000001,459.51,110.76,2.7,0.003999999999678039,1.4210854715202004e-14,0,1,3.9999999999906777e-4,"2.852, 3.671, 4.594, 6.964, 9.325",5,"BASE, BASE, BASE, BASE, ACID",9.32494005203247,6.964169216156006,9.32494005203247,3.6708833980560303,acidic_amide,heterocyclic_N_basic_5ring_polyhet,0.9880707737343091,0.011929226265690929,2.6947880534352424
Budesonide,CHEMBL1370,430.54,93.06,2,6,2.72,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,ChEMBL,0.13,1,0.13,NA,NA,NA,ChEMBL_Fu,0.13,NA,0,NA,NA,0,NA,7.64,NA,2.64,2.84,ACID,430.5410000000002,93.06,2,6,2.7168000000000014,430.54,93.06,2.72,0.0010000000002037268,0,0,0,0.0031999999999987594,"7.69, 7.797",2,"ACID, ACID",7.689782295227051,NA,7.689782295227051,NA,alcohol,NA,0.660886754871033,0.339113245128967,2.5401270480664295
Doxazosin,CHEMBL707,451.48,112.27,1,9,1.72,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,ChEMBL,0.017,1,0.017,NA,NA,NA,ChEMBL_Fu,0.017,6.7,2,"6.5, 6.9",NA,0,NA,NA,6.15,3.28,3.3,BASE,451.4830000000003,112.27000000000001,1,9,1.7177999999999993,451.48,112.27,1.72,0.00300000000027012,1.4210854715202004e-14,0,0,0.002200000000000646,"4.917, 5.993, 6.235, 8.735",4,"BASE, BASE, BASE, ACID",8.735058574676513,6.234577522277832,8.735058574676513,6.234577522277832,acidic_aniline,heterocyclic_N_basic_polyhet,0.8972178353830679,0.10278216461693213,1.672897898138149
Estradiol,CHEMBL135,272.39,40.46,2,2,3.61,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,ChEMBL,0.015,3,"0.015, 0.015, 0.016",NA,NA,NA,ChEMBL_Fu,0.015,NA,0,NA,4.01,1,4.01,11.66,NA,3.91,3.91,ACID,272.3879999999999,40.46,2,2,3.6092000000000026,272.39,40.46,3.61,0.002000000000066393,0,0,0,7.999999999972474e-4,10.033,1,ACID,10.033016815185547,NA,10.033016815185547,NA,alcohol,NA,0.9976774058822544,0.002322594117745602,3.608990136985515
Ethanol,CHEMBL545,46.07,20.23,1,1,0.00,CCO,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,12.31,NA,-0.31,-0.31,ACID,46.069,20.23,1,1,-0.0014000000000000123,46.07,20.23,0,9.999999999976694e-4,0,0,0,0.0014000000000000123,9.791,1,ACID,9.790678672790527,NA,9.790678672790527,NA,alcohol,NA,0.9959490354512682,0.0040509645487317725,-0.0017628846572112812
Lorazepam,CHEMBL580,321.16,61.69,2,3,3.10,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,ChEMBL,0.09,4,"0.09, 0.09, 0.09, 0.057",NA,NA,NA,ChEMBL_Fu,0.09,11.5,1,11.5,2.51,1,2.51,9.42,NA,2.39,2.39,ACID,321.163,61.69,2,3,3.1013000000000015,321.16,61.69,3.1,0.002999999999985903,0,0,0,0.0013000000000014111,"6.315, 9.969, 10.846",3,"BASE, ACID, ACID",9.969268321990967,6.315492362976074,9.969268321990967,NA,acidic_amide,NA,0.9973111760746024,0.0026888239253975987,3.0988306858610355
Mirtazapine,CHEMBL654,265.36,19.37,0,3,2.48,CN1CCN2c3ncccc3Cc3ccccc3C2C1,ChEMBL,0.16,7,"0.15, 0.15, 0.16, 0.266, 0.286, 0.32, 0.15",NA,NA,NA,ChEMBL_Fu,0.16,7.3,8,"7.3, 7.1, 7.3, 3.59, 7.79, 7.3, 7.3, 7.3",2.3,1,2.3,NA,7.35,1.25,1.53,BASE,265.36,19.37,0,3,2.4789000000000003,265.36,19.37,2.48,0,0,0,0,0.0010999999999996568,"3.763, 4.607, 7.377",3,"BASE, BASE, BASE",NA,7.376978378295899,NA,7.376978378295899,NA,aliphatic_amine,0.5132492083826903,0.4867507916173097,2.190328288202796
Pantoprazole,CHEMBL1502,383.38,92.32,1,6,2.88,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,ChEMBL,0.02,1,0.02,NA,NA,NA,ChEMBL_Fu,0.02,5.845000000000001,4,"3.92, 8.19, 4, 7.69",NA,0,NA,NA,0.36,1.45,1.45,BASE,383.3760000000001,92.32000000000001,1,6,2.8843000000000005,383.38,92.32,2.88,0.0039999999999054126,1.4210854715202004e-14,0,0,0.004300000000000637,"4.132, 4.38, 7.281",3,"BASE, BASE, BASE",NA,7.281350135803223,NA,7.281350135803223,NA,heterocyclic_N_basic_5ring_polyhet,0.5678786766573816,0.43212132334261844,2.6342555616154955
Pentoxifylline,CHEMBL628,278.31,78.89,0,7,0.19,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,ChEMBL,1,2,"1, 1",NA,NA,NA,ChEMBL_Fu,1,NA,0,NA,0.29,1,0.29,NA,2.41,0.29,0.29,BASE,278.31200000000007,78.89,0,4,0.19300000000000006,278.31,78.89,0.19,0.002000000000066393,0,0,3,0.003000000000000058,4.402,1,BASE,NA,4.40168981552124,NA,4.40168981552124,NA,heterocyclic_N_basic_5ring_polyhet,0.9989971082779399,0.0010028917220601397,0.1895642311081129
Propylthiouracil,CHEMBL1518,170.24,48.65,2,2,1.38,CCCc1cc(=O)[nH]c(=S)[nH]1,ChEMBL,0.18,1,0.18,NA,NA,NA,ChEMBL_Fu,0.18,NA,0,NA,0.85,1,0.85,NA,-0.26,-0.39,-0.39,BASE,170.237,48.65,2,2,1.38499,170.24,48.65,1.38,0.0030000000000143245,0,0,0,0.00499000000000005,"4.885, 8.737, 10.357",3,"BASE, BASE, BASE",NA,10.356938133239746,NA,10.356938133239746,NA,heterocyclic_N_basic_polyhet,0.0011030179189501167,0.9988969820810499,-1.5774174322216905
Quetiapine,CHEMBL716,383.52,48.30,1,6,2.86,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,6.91,3,"3.64, 6.91, 11.18",3.4,1,3.4,NA,7.7,2.29,2.77,BASE,383.51700000000017,48.300000000000004,1,6,2.8560000000000016,383.52,48.3,2.86,0.0029999999998153726,7.105427357601002e-15,0,0,0.003999999999998227,"7.204, 7.884, 9.863",3,"BASE, ACID, ACID",7.883581962585449,7.204112720489502,7.883581962585449,7.204112720489502,acidic_aniline,aliphatic_amine,0.5088095073405423,0.4911904926594577,2.566555217709066
